"id_order","id_customer","id_distribution_center","order_date"
"O1003",3,1,"2026-05-02"
"O1004",3,1,"2026-05-03"
"O1007",9,3,"2026-05-06"
"O1008",9,3,"2026-05-07"
"O1013",8,4,"2026-05-12"
"O1014",8,4,"2026-05-13"
"O1001",10,1,"2026-05-01"
"O1002",10,1,"2026-05-02"
"O1017",4,1,"2026-05-16"
"O1018",4,1,"2026-05-17"
"O1005",6,6,"2026-05-04"
"O1006",6,6,"2026-05-05"
"O1011",5,5,"2026-05-10"
"O1012",5,5,"2026-05-11"
"O1009",1,3,"2026-05-08"
"O1010",1,3,"2026-05-09"
"O1019",7,5,"2026-05-18"
"O1020",7,5,"2026-05-19"
"O1015",2,4,"2026-05-14"
"O1016",2,4,"2026-05-15"
